pdf_letter_section,pdf_source_order,pdf_business_name,pdf_original_summary,pdf_source_directory_url,added_enrichment_label,enrichment_confidence,added_enrichment_note,enriched_business_name,enriched_official_website,enriched_chamber_profile_url,enriched_phone,enriched_email,enriched_address,enriched_city,enriched_state,enriched_zip,enriched_business_category,enriched_verified_summary,added_enrichment_sources
C,108,Coldwell Banker Ingle Safari Realty,"Financial institution providing banking, lending, deposit, or credit services.",https://events.allianceswla.org/list/searchalpha/c,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
C,109,Collective Wealth Advisors formerly Burnette Financial Planning,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/c,Enriched,High,Enriched or corrected from public Chamber directory and/or official public web source.,Collective Wealth Advisors formerly Burnette Financial Planning,https://collectivewealthadvisors.com/,https://events.allianceswla.org/list/member/collective-wealth-advisors-formerly-burnette-financial-planning-114375,(337) 562-9500,,4833 Ihles Road,Lake Charles,LA,70605,Financial Planning & Services,"Collective Wealth Advisors, formerly Burnette Financial Planning, is an independent fiduciary firm providing fee-only financial planning and investment management services.",https://events.allianceswla.org/list/member/collective-wealth-advisors-formerly-burnette-financial-planning-114375
C,110,Crescent Crown Distributing,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/c,Enriched,High,Enriched or corrected from public Chamber directory and/or official public web source.,Crescent Crown Distributing,http://www.crescentcrown.com,https://events.allianceswla.org/list/member/crescent-crown-distributing-121889,(337) 354-4000,scott.alston@crescentcrown.com,1870 Easy Street,Lake Charles,LA,70605,Wholesaler,"Crescent Crown Distributing is a beverage distribution company handling beer, non-alcoholic beverages, craft and import beers, and related products in the Lake Charles market.",https://events.allianceswla.org/list/member/crescent-crown-distributing-121889; https://www.allianceswla.org/clientuploads/Linked%20Documents/2022_Directory.pdf
C,111,Crimson Enterprises,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/c,Enriched,High,Already enriched in the prior consolidated file; retained.,Crimson Enterprises,,,,,1917 19th Strt,Lake Charles,LA,70601-8979,,"Crimson Enterprises, LLC is a commercial entity associated with a multi-business residency registry at an address in Lake Charles, Louisiana.",
C,112,Cruise Planners,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/c,Enriched,High,Already enriched in the prior consolidated file; retained.,Cruise Planners,http://www.DestinationsByTina.com,https://events.allianceswla.org/list/member/cruise-planners-120639.htm,(337) 405-7650,,5297B Elliott Road,Lake Charles,LA,70605,Travel Agencies,"Cruise Planners, an American Express Travel Representative agency, specializes in all types of travel bookings including custom cruise packages, land tours, and resort vacation packages.",
C,113,Crust Pizza Co,"Restaurant, food service, catering, grocery, or beverage business.",https://events.allianceswla.org/list/searchalpha/c,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
C,114,Crying Eagle Brewing Co.,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/c,Enriched,High,Already enriched in the prior consolidated file; retained.,Crying Eagle Brewing Co.,http://cryingeagle.com,https://events.allianceswla.org/list/member/crying-eagle-brewing-co-120590,(337) 990-4871,,1165 East McNeese Street,Lake Charles,LA,70607,"Bottling | Restaurants, Food & Beverages","Crying Eagle Brewing Co. is a local craft brewery and restaurant facility situated in Lake Charles, Louisiana.",
C,115,CSE Federal Credit Union,"Financial institution providing banking, lending, deposit, or credit services.",https://events.allianceswla.org/list/searchalpha/c,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
C,116,"CSRS, Inc.",Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/c,Enriched,High,Already enriched in the prior consolidated file; retained.,"CSRS, Inc.",https://csrsinc.com,https://events.allianceswla.org/list/member/csrs-inc-114908,(337) 214-6072,,"1800 Ryan Street, Ste 102",Lake Charles,LA,70601,Consultants,"CSRS, Inc. is a professional infrastructure corporate and architectural consulting firm with regional office operations in Lake Charles, Louisiana.",
C,117,CTC Financial Investments,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/c,Enriched,Medium,Enriched or corrected from public Chamber directory and/or official public web source.,CTC Financial Investments,,https://events.allianceswla.org/list/searchalpha/c,(337) 493-7247,,P.O. Box 6976,Lake Charles,LA,70606,Investments,CTC Financial Investments is an investment business listed by Chamber Southwest Louisiana.,https://events.allianceswla.org/list/searchalpha/c
C,118,Cumulus Media,"Advertising, marketing, media, printing, signage, or creative services.",https://events.allianceswla.org/list/searchalpha/c,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
C,119,"Custom Metal Fabricators, Inc.",Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/c,Enriched,High,Already enriched in the prior consolidated file; retained.,"Custom Metal Fabricators, Inc.",https://www.cmfab.net,,(337) 478-0932,,200 East Hebert Road,Lake Charles,LA,70607,"Building Materials, Manufacturing, Industrial Machinery & Equipment","Custom Metal Fabricators, Inc. is a metal fabrication and HVAC services company that has been providing custom industrial piping, manufacturing, and structural welding since 1972.",
D,1,"D&G Construction, LLC","Construction, contractor, building trades, or home improvement services.",https://events.allianceswla.org/list/searchalpha/d,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
D,2,"D. W. Jessen & Associates, LLC",Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/d,Enriched,Medium,Enriched or corrected from public Chamber directory and/or official public web source.,"D. W. Jessen & Associates, LLC",http://www.dwjessen.com,,(337) 433-0561,,440 Kirby Street,Lake Charles,LA,70601,Engineering/Consulting Engineers | Surveying,"D. W. Jessen & Associates, LLC is a Lake Charles civil engineering and land surveying firm.",https://www.macraesbluebook.com/search/company.cfm?company=1273607; https://seamless.ai/b/dw-jessen-associates-llc-7614617
D,3,"D.R. Horton, Inc.",Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/d,Enriched,High,Enriched or corrected from public Chamber directory and/or official public web source.,"D.R. Horton, Inc.",https://www.drhorton.com/,https://events.allianceswla.org/list/searchalpha/d,(337) 456-5865,,4642 East Ridge Road,Lake Charles,LA,70607,Residential Home Construction & Remodeling,"D.R. Horton, Inc. is a national homebuilder with a Lake Charles-area community/sales presence listed by Chamber Southwest Louisiana.",https://events.allianceswla.org/list/searchalpha/d; https://www.drhorton.com/
D,4,"Daily Ritmo, LLC","Technology, telecom, IT, office systems, or business equipment services.",https://events.allianceswla.org/list/searchalpha/d,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
D,5,"Daly Williams Agency, Inc.",Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/d,Enriched,High,Enriched or corrected from public Chamber directory and/or official public web source.,"Daly Williams Agency, Inc.",https://www.dalywilliamsagency.com/,https://events.allianceswla.org/list/searchalpha/d,(337) 824-4750,,127 W. Plaquemine Street,Jennings,LA,70546,Insurance,"Daly Williams Agency, Inc. is an independent insurance agency in Jennings, Louisiana providing personal and commercial insurance services.",https://events.allianceswla.org/list/searchalpha/d; https://www.dalywilliamsagency.com/
D,6,Daniel Natural Medicine,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/d,Enriched,High,Already enriched in the prior consolidated file; retained.,Daniel Natural Medicine,https://danielnaturalmed.com/contact,,(337) 602-1417,,2810 Common St,Lake Charles,LA,70601,,"Daniel Natural Medicine is a pharmacist-owned nutrition and supplement center in Lake Charles, Louisiana, providing custom lab interpretation and holistic wellness consultations.",
D,7,"Data.Sys, Inc.","Technology, telecom, IT, office systems, or business equipment services.",https://events.allianceswla.org/list/searchalpha/d,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
D,8,David Greenberg Trust,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/d,Enriched,High,Enriched or corrected from public Chamber directory and/or official public web source.,David Greenberg Trust,,https://events.allianceswla.org/list/member/david-greenberg-trust-lake-charles-2479,(337) 249-7518,tcarnahan@bellsouth.net,P.O. Box 862,Lake Charles,LA,70602,Non-Profit or Civic Organization,David Greenberg Trust is a Lake Charles private foundation/non-exempt charitable trust listed by Chamber Southwest Louisiana.,https://events.allianceswla.org/list/member/david-greenberg-trust-lake-charles-2479; https://www.zeffy.com/foundations/72-0573408; https://projects.propublica.org/nonprofits/organizations/720573408
D,9,DaVita Lake Charles Southwest,"Technology, telecom, IT, office systems, or business equipment services.",https://events.allianceswla.org/list/searchalpha/d,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
D,10,Dear Winnie Canine Social Club,Dog daycare and boarding business focused on kennel-free small-group care.,https://events.allianceswla.org/list/searchalpha/d,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
D,11,Deep South Productions,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/d,Enriched,High,Already enriched in the prior consolidated file; retained.,Deep South Productions,http://www.deepsouthproductions.com/,https://events.allianceswla.org/list/member/deep-south-productions-108413,(337) 626-2235,,1441 Swisco Road,Sulphur,LA,70665,DJ,Deep South Productions is an event entertainment and disc jockey service provider with over 15 years of experience delivering audio-visual entertainment for receptions and parties in Southwest Louisiana.,
D,12,Delta Utilities,"Technology, telecom, IT, office systems, or business equipment services.",https://events.allianceswla.org/list/searchalpha/d,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
D,13,DeQuincy Chamber Of Commerce,"Nonprofit, civic, trade association, or community organization.",https://events.allianceswla.org/list/searchalpha/d,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
D,14,Dermatology Associates of Southwest LA,"Healthcare, medical, pharmacy, therapy, or wellness services.",https://events.allianceswla.org/list/searchalpha/d,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
D,15,"Diamond B Compressor & Hydraulics, LLC",Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/d,Enriched,High,Enriched or corrected from public Chamber directory and/or official public web source.,"Diamond B Compressor & Hydraulics, LLC",https://dbcompressor.com/,https://events.allianceswla.org/list/searchalpha/d,(337) 882-7955,sales@dbcompressor.com,1366 Swisco Road,Sulphur,LA,70665,Pumps & Supplies | Marine Services | Air Compressor Sales & Service,"Diamond B Compressor & Hydraulics, LLC provides air compressor, hydraulics, pump, pneumatic, and marine service and sales for industrial, residential, and marine customers along the Gulf Coast.",https://events.allianceswla.org/list/searchalpha/d; https://dbcompressor.com/
D,16,Diamond Durrells,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/d,Enriched,High,Already enriched in the prior consolidated file; retained.,Diamond Durrells,https://www.diamonddurrellsjewelry.com,https://events.allianceswla.org/list/member/diamond-durrells-lake-charles-115110,(337) 477-7105,,224 W. Prien Lake Rd,Lake Charles,LA,70601,"Jewelry & Watch Retail, Retail","Diamond Durrell's is a locally owned retail fine jewelry store in Lake Charles, Louisiana, established in 1981 and specializing in diamonds, custom design, and watch repairs.",
D,17,"Didier Consultants, Inc.","Engineering, architecture, consulting, surveying, or environmental services.",https://events.allianceswla.org/list/searchalpha/d,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
D,18,Digikast Captive Media Solutions,"Out-of-home advertising technology provider offering hardware, software, and advertising support.",https://events.allianceswla.org/list/searchalpha/d,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
D,19,Diocese of Lake Charles,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/d,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
D,20,Direct Auto Insurance,"Insurance, benefits, or risk-management services.",https://events.allianceswla.org/list/searchalpha/d,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
D,21,Distribution International,"Industrial, commercial, and marine insulation supplier with fabrication and safety supplies.",https://events.allianceswla.org/list/searchalpha/d,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
D,22,Dore' Energy,"Oil, gas, and real estate investment business.",https://events.allianceswla.org/list/searchalpha/d,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
D,23,DoubleTree by Hilton,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/d,Enriched,High,Already enriched in the prior consolidated file; retained.,DoubleTree by Hilton,https://kintetsu.com/hotel/doubletree-by-hilton-sulphur-lake-charles/,,1-337-527-0858,,330 Arena Rd,Sulphur,LA,70663,,"DoubleTree by Hilton Sulphur Lake Charles is an upscale lodging establishment located in Sulphur, Louisiana, providing modern amenities and accommodation adjacent to regional casinos.",
D,24,Doug Ashy Building Materials,"Construction, contractor, building trades, or home improvement services.",https://events.allianceswla.org/list/searchalpha/d,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
D,25,Drago's Seafood Restaurant,"Restaurant, food service, catering, grocery, or beverage business.",https://events.allianceswla.org/list/searchalpha/d,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
D,26,Drewett & Drewett LLC,Tax and accounting firm.,https://events.allianceswla.org/list/searchalpha/d,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
D,27,DTS Tactical Guns & Ammo,Specialty retail business listed in the Chamber directory.,https://events.allianceswla.org/list/searchalpha/d,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
D,28,"Dubois Sheet Metal Works, LLC","Construction, contractor, building trades, or home improvement services.",https://events.allianceswla.org/list/searchalpha/d,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
D,29,"Ducote Law Firm, LLC",Legal services/law firm.,https://events.allianceswla.org/list/searchalpha/d,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
D,30,Duhon & Pleasant Consulting Engineers,"Engineering, architecture, consulting, surveying, or environmental services.",https://events.allianceswla.org/list/searchalpha/d,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
D,31,Duke Industrial Group,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/d,Enriched,High,Enriched or corrected from public Chamber directory and/or official public web source.,Duke Industrial Group,https://www.dukeindustrialgrp.com/,,(337) 625-8038,estimates@dukeindustrialgroup.com,810 E. 4th Street,DeQuincy,LA,70633,Industrial Contractors,"Duke Industrial Group is an industrial EPC and fabrication contractor serving oil, gas, petrochemical, LNG, food and beverage, and related industrial markets.",https://www.dukeindustrialgrp.com/about-us; https://www.linkedin.com/company/duke-industrial-group-llc
D,32,"Dunham Price Group, LLC",Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/d,Enriched,High,Already enriched in the prior consolidated file; retained.,"Dunham Price Group, LLC",,https://events.allianceswla.org/list/member/dunham-price-group-llc-221,(337) 433-3900,,210 Mike Hooks Road,Westlake,LA,70669,Concrete | Aggregates,"Dunham Price Group, LLC is a major industrial supply company in Westlake, Louisiana, specializing in concrete manufacturing and aggregate distributions.",
D,33,"Dyer Psychiatric Services, Inc","Healthcare, medical, pharmacy, therapy, or wellness services.",https://events.allianceswla.org/list/searchalpha/d,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,1,Enbridge Inc US,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,2,Entergy,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,3,ExxonMobil,"Energy, petrochemical, industrial, or natural gas/LNG-related business.",https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,4,"E2E Technology, LLC",Cloud office phone and business communications technology provider.,https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,5,"Eagle Electric Machinery, Inc.",Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/e,Enriched,High,Already enriched in the prior consolidated file; retained.,"Eagle Electric Machinery, Inc.",https://www.eagleelectric.org,,(337) 625-2070,,360 N HAZEL ST,Sulphur,LA,70663,,"Eagle Electric Machinery, Inc. is an incorporated heavy industrial supply and electronics repair company based in Sulphur, Louisiana.",
E,6,Eastwood Pentecostal Church,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/e,Enriched,High,Already enriched in the prior consolidated file; retained.,Eastwood Pentecostal Church,http://www.eastwoodcares.com,https://events.allianceswla.org/list/member/eastwood-pentecostal-church-lake-charles-1382,(337) 439-3425,nbatchelor@upci.org,2501 Opelousas Street,Lake Charles,LA,70601-2753,Churches,"Eastwood Pentecostal Church is an apostolic, multi-cultural Christian place of worship located on Opelousas Street in Lake Charles, Louisiana.",
E,7,Edward Jones - Anne Miller,Financial advisor providing personalized investment and financial planning services.,https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,8,Edward Jones - Bill Hambor,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,9,Edward Jones - Brooke Pleasant,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,10,Edward Jones-Jim Giffin,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,11,Eggs Up Grill,"Restaurant, food service, catering, grocery, or beverage business.",https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,12,Ellevate Louisiana,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/e,Enriched,High,Already enriched in the prior consolidated file; retained.,Ellevate Louisiana,,,(504) 655-0930,Christy@stokesflame.com,,Lake Charles,LA,,,Ellevate Louisiana is an empowered statewide leadership connection network that hosts regular policy discussions and annual summits at venues like the Golden Nugget in Lake Charles.,
E,13,Elton Chamber of Commerce,"Nonprofit, civic, trade association, or community organization.",https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,14,Empire of the Seed,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/e,Enriched,High,Already enriched in the prior consolidated file; retained.,Empire of the Seed,https://www.empireoftheseed.com,,337-310-0405,,949 Ryan Street Suite 200,Lake Charles,LA,70601,"Grocery Retail, Retail, Real Estate","Empire of the Seed Historic Properties is a real estate development firm in Lake Charles, Louisiana, specializing in renting premium historic properties for weddings, corporate events, and business tenants.",
E,15,Energy Transfer,"Energy, petrochemical, industrial, or natural gas/LNG-related business.",https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,16,"Engineering & Inspection Services, LLC","Engineering, architecture, consulting, surveying, or environmental services.",https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,17,ENRICH Behavioral Health,"Healthcare, medical, pharmacy, therapy, or wellness services.",https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,18,Enterprise Rent-A-Car,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,19,Envirotech Services,"Entertainment, recreation, events, tourism, or venue services.",https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,20,Epes Logistics Services,"Transportation, logistics, storage, shipping, or moving services.",https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,21,Equilibrium Health,"Healthcare, medical, pharmacy, therapy, or wellness services.",https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,22,"Eric T. Guillory, CPA",Legal services/law firm.,https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,23,"Ernest P. Breaux Electrical, LLC","Construction, contractor, building trades, or home improvement services.",https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,24,Estrella's Cleaning Services,"Entertainment, recreation, events, tourism, or venue services.",https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,25,Evelyn's Kitchen Table,"Restaurant, food service, catering, grocery, or beverage business.",https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,26,Evergreen Life Services,"Entertainment, recreation, events, tourism, or venue services.",https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,27,Excel Contractors,"Construction, contractor, building trades, or home improvement services.",https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,28,Excel Paralubes,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,29,Express Employment Professionals,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,30,Extended Stay America,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
E,31,Extended Care of Southwest Louisiana,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/e,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
F,1,First Federal Bank of Louisiana,"Financial institution providing banking, lending, deposit, or credit services.",https://events.allianceswla.org/list/searchalpha/f,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
F,2,First Horizon,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/f,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
F,3,Fulair Wireless,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/f,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
F,4,Families Helping Families of SWLA,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/f,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
F,5,Family & Youth,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/f,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
F,6,"Family Tire Care, LLC","Automotive sales, repair, parts, tires, trucking, or vehicle service business.",https://events.allianceswla.org/list/searchalpha/f,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
F,7,Famous Foods LLC,"Restaurant, food service, catering, grocery, or beverage business.",https://events.allianceswla.org/list/searchalpha/f,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
F,8,"Farmers Rice Milling Company, Inc.",Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/f,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
F,9,Fastsigns,"Advertising, marketing, media, printing, signage, or creative services.",https://events.allianceswla.org/list/searchalpha/f,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
F,10,Fastwyre Broadband,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/f,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
F,11,Ferdinandsen Financial Group,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/f,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
F,12,"Ferguson Hardware & Supply, Inc.","Retail, specialty goods, home goods, supplies, or consumer products.",https://events.allianceswla.org/list/searchalpha/f,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
F,13,Firestone Polymers,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/f,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
F,14,"Firetrol Protection Systems, Inc.","Technology, telecom, IT, office systems, or business equipment services.",https://events.allianceswla.org/list/searchalpha/f,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
